url,status,scheme,host,port,latency_ms,ip_version,score,sources,networks,tags,detail
http://tracker.dler.com:6969/announce,alive,http,tracker.dler.com,6969,499.8,unknown,1182.06,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,HTTP 200 tracker response
http://aboutbeautifulgallopinghorsesinthegreenpasture.online/announce,alive,http,aboutbeautifulgallopinghorsesinthegreenpasture.online,80,335.1,unknown,1181.4,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | ngosang all,public,,HTTP 200 tracker response
https://tracker.gcrenwp.top/announce,alive,https,tracker.gcrenwp.top,443,131.3,unknown,1170.02,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,HTTP 200 tracker response
https://tracker.zhuqiy.com/announce,alive,https,tracker.zhuqiy.com,443,28.7,unknown,1167.37,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,HTTP 200 tracker response
http://nyaa.tracker.wf:7777/announce,alive,http,nyaa.tracker.wf,7777,422.8,unknown,1165.57,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList,public,anime,HTTP 200 tracker response
http://107.189.2.131:1337/announce,alive,http,107.189.2.131,1337,329.5,unknown,1161.67,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | ngosang IP literals,public,,HTTP 200 tracker response
udp://yuptracker-eu.gaijinent.com:27022/announce,alive,udp,yuptracker-eu.gaijinent.com,27022,129.4,ipv4,1158.85,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | ngosang all,public,,BEP 15 connect response
http://tracker.dhitechnical.com:6969/announce,alive,http,tracker.dhitechnical.com,6969,2824.4,unknown,1156.46,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,HTTP 200 tracker response
udp://tracker.auctor.tv:6969/announce,alive,udp,tracker.auctor.tv,6969,159.5,ipv4,1155.99,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,BEP 15 connect response
http://tracker.nexusstream.eu:6969/announce,alive,http,tracker.nexusstream.eu,6969,593.7,unknown,1151.54,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | ngosang all,public,,HTTP 200 tracker response
http://tracker.xn--djrq4gl4hvoi.top/announce,alive,http,tracker.xn--djrq4gl4hvoi.top,80,464.0,unknown,1151.13,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all,public,,HTTP 200 tracker response
udp://109.201.134.183:80/announce,alive,udp,109.201.134.183,80,140.8,ipv4,1149.31,Tunglies TrackersList | animeTrackerList | ngosang IP literals,public,anime,BEP 15 connect response
udp://su-data.com:6969/announce,alive,udp,su-data.com,6969,155.5,ipv4,1147.67,00xc0d3 BitTorrent Tracker List | Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://93.158.213.92:1337/announce,alive,udp,93.158.213.92,1337,141.2,ipv4,1146.25,Tunglies TrackersList | animeTrackerList | ngosang IP literals,public,anime,BEP 15 connect response
udp://torrents.artixlinux.org:6969/announce,alive,udp,torrents.artixlinux.org,6969,180.0,ipv4,1144.72,00xc0d3 BitTorrent Tracker List | Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
http://announce.sktorrent.eu:6969/announce,alive,http,announce.sktorrent.eu,6969,461.2,unknown,1130.92,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection,public,,HTTP 200 tracker response
udp://51.81.222.188:6969/announce,alive,udp,51.81.222.188,6969,8.2,ipv4,1118.0,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://74.119.149.136:6969/announce,alive,udp,74.119.149.136,6969,62.3,ipv4,1117.6,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://152.53.194.103:1984/announce,alive,udp,152.53.194.103,1984,64.7,ipv4,1117.42,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://152.53.194.103:54123/announce,alive,udp,152.53.194.103,54123,68.4,ipv4,1117.13,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://51.222.82.36:6969/announce,alive,udp,51.222.82.36,6969,66.2,ipv4,1116.81,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://180.131.145.175:6969/announce,alive,udp,180.131.145.175,6969,9.2,ipv4,1116.74,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://34.66.57.33:1337/announce,alive,udp,34.66.57.33,1337,52.1,ipv4,1116.69,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://yuptracker-us.gaijinent.com:27022/announce,alive,udp,yuptracker-us.gaijinent.com,27022,62.4,ipv4,1116.61,Tunglies TrackersList | newTrackon all,public,,BEP 15 connect response
udp://23.153.248.128:6969/announce,alive,udp,23.153.248.128,6969,33.0,ipv4,1116.37,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://192.99.100.68:6969/announce,alive,udp,192.99.100.68,6969,70.1,ipv4,1115.85,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://34.66.57.33:80/announce,alive,udp,34.66.57.33,80,53.1,ipv4,1115.21,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://23.157.120.14:6969/announce,alive,udp,23.157.120.14,6969,53.7,ipv4,1113.48,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://52.211.139.85:27022/announce,alive,udp,52.211.139.85,27022,139.3,ipv4,1109.97,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
http://retracker01-msk-virt.corbina.net/announce,alive,http,retracker01-msk-virt.corbina.net,80,738.5,unknown,1109.77,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection,public,,HTTP 200 tracker response
udp://37.120.182.83:15480/announce,alive,udp,37.120.182.83,15480,149.7,ipv4,1108.46,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://185.216.179.62:25/announce,alive,udp,185.216.179.62,25,154.5,ipv4,1108.21,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://opentrackr.org:1337/announce,alive,udp,opentrackr.org,1337,143.1,ipv4,1107.97,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://37.60.249.217:6969/announce,alive,udp,37.60.249.217,6969,160.9,ipv4,1107.66,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://151.242.104.187:80/announce,alive,udp,151.242.104.187,80,161.4,ipv4,1107.54,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://tracker-udp.anirena.com:80/announce,alive,udp,tracker-udp.anirena.com,80,145.6,ipv4,1107.49,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://94.23.207.177:6969/announce,alive,udp,94.23.207.177,6969,144.7,ipv4,1107.07,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://31.56.179.159:6969/announce,alive,udp,31.56.179.159,6969,170.0,ipv4,1106.7,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://37.120.182.83:1984/announce,alive,udp,37.120.182.83,1984,149.1,ipv4,1106.67,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://193.187.90.12:6969/announce,alive,udp,193.187.90.12,6969,160.2,ipv4,1106.52,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://91.177.126.188:6969/announce,alive,udp,91.177.126.188,6969,143.0,ipv4,1106.4,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
http://93.158.213.92:1337/announce,alive,http,93.158.213.92,1337,287.5,unknown,1106.36,Tunglies TrackersList | animeTrackerList | ngosang IP literals,public,anime,HTTP 200 tracker response
udp://95.217.80.20:6969/announce,alive,udp,95.217.80.20,6969,176.9,ipv4,1106.14,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://95.217.80.22:6969/announce,alive,udp,95.217.80.22,6969,171.4,ipv4,1105.81,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://164.152.110.70:6969/announce,alive,udp,164.152.110.70,6969,55.3,ipv4,1105.52,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://212.42.38.197:6969/announce,alive,udp,212.42.38.197,6969,184.5,ipv4,1105.49,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://tracker2.dler.com:80/announce,alive,udp,tracker2.dler.com,80,131.5,ipv4,1105.14,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://83.102.180.21:80/announce,alive,udp,83.102.180.21,80,194.1,ipv4,1105.09,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://tracker.cyberia.is:6969/announce,alive,udp,tracker.cyberia.is,6969,176.8,ipv4,1105.07,Tunglies TrackersList | newTrackon all,public,,BEP 15 connect response
udp://tracker.ilibr.org:80/announce,alive,udp,tracker.ilibr.org,80,169.8,ipv4,1104.83,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
udp://185.121.168.96:6969/announce,alive,udp,185.121.168.96,6969,135.3,ipv4,1104.69,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://65.109.28.33:6969/announce,alive,udp,65.109.28.33,6969,225.3,ipv4,1104.28,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://yuptracker-sa.gaijinent.com:27022/announce,alive,udp,yuptracker-sa.gaijinent.com,27022,162.1,ipv4,1102.71,Tunglies TrackersList | newTrackon all,public,,BEP 15 connect response
udp://15.235.207.99:8081/announce,alive,udp,15.235.207.99,8081,160.7,ipv4,1102.66,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
udp://65.109.28.17:6969/announce,alive,udp,65.109.28.17,6969,214.4,ipv4,1102.34,Tunglies TrackersList | ngosang IP literals,public,,BEP 15 connect response
http://t.overflow.biz:6969/announce,alive,http,t.overflow.biz,6969,540.0,unknown,1098.97,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | ngosang all,public,anime,HTTP 200 tracker response
udp://91.211.5.21:6969/announce,alive,udp,91.211.5.21,6969,223.5,ipv4,1094.16,Tunglies TrackersList | animeTrackerList,public,anime,BEP 15 connect response
https://tracker.adgk.net/announce,alive,https,tracker.adgk.net,443,1440.3,unknown,1087.86,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all,public,,HTTP 404 bencoded tracker response
http://152.53.194.103:2710/announce,alive,http,152.53.194.103,2710,129.6,unknown,1082.22,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
udp://bittorrent-tracker.e-n-c-r-y-p-t.net:1337/announce,alive,udp,bittorrent-tracker.e-n-c-r-y-p-t.net,1337,633.6,ipv4,1080.46,00xc0d3 BitTorrent Tracker List | Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all | newTrackon stable | ngosang all,public,,BEP 15 connect response
https://tracker.monikadesign.uk/announce/63ea34cb9815cd28d63fc75b2f2c5a56,alive,https,tracker.monikadesign.uk,443,214.6,unknown,1079.65,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
udp://208.83.20.20:6969/announce,alive,udp,208.83.20.20,6969,29.3,ipv4,1075.71,ngosang IP literals,public,,BEP 15 connect response
